undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.7999999523162837,9.25,30.299999,9.029886245727539
0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457
0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227782
0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015138
0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981
0.42699999,LBR,SubSaharian,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449
0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915
0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522462
0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,15.100000381469732,9.989999800000001,23.799999,10.32365608215332
,PRK,EastAsia,1727.8199,,,3.3499999,,
0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
